Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
20;25;11375;3%
20;78;9978;3%
20;81;9013;2%
20;13;8681;2%
20;36;7828;2%
20;10;6781;2%
20;69;5413;1%
20;64;4251;1%
20;75;3903;1%
20;3;696;0%
20;6;214;0%
21;56;75227;15%
21;60;59872;12%
21;82;52650;10%
21;70;48246;10%
21;12;47274;9%
21;51;42681;8%
21;13;32832;6%
21;45;26072;5%
21;34;25624;5%
21;35;21369;4%
21;11;19457;4%
21;65;14590;3%
21;25;14442;3%
21;78;14307;3%
21;69;14133;3%
21;64;11884;2%
21;81;9861;2%
21;36;8518;2%
21;75;6226;1%
21;10;6031;1%
21;3;878;0%
21;6;221;0%
22;12;91867;19%
22;13;70602;14%
22;56;58104;12%
22;82;51123;10%
22;70;40325;8%
22;60;38831;8%
22;34;31415;6%
22;35;31328;6%
22;51;27322;6%
22;25;21265;4%
22;11;19700;4%
22;65;17121;4%
22;78;13883;3%
22;45;12904;3%
22;36;12176;2%
22;81;11693;2%
22;64;10753;2%
22;10;8063;2%
22;69;3552;1%
22;75;3516;1%
22;3;3130;1%
22;6;2058;0%
23;12;47544;14%
23;82;34499;10%
23;70;32408;10%
23;56;32228;10%
23;13;29030;9%
23;51;26595;8%
23;60;23998;7%
23;34;22612;7%
23;35;18760;6%
23;25;18514;6%
23;11;14367;4%
23;64;13688;4%
23;45;11473;3%
23;36;10412;3%
23;65;8774;3%
23;78;8263;3%
23;81;7326;2%
23;10;5625;2%
23;3;3526;1%
23;75;3296;1%
23;69;3029;1%
23;6;1720;1%
24;82;19235;17%
24;12;16943;15%
24;56;11075;10%
24;13;9420;9%
24;35;9114;8%
24;70;8318;8%
24;25;7524;7%
24;34;5543;5%
24;11;5159;5%
24;51;5083;5%
24;78;4194;4%
24;36;3755;3%
24;60;3563;3%
24;3;3288;3%
24;65;3213;3%
24;10;3067;3%
24;81;2708;2%
24;45;2231;2%
24;64;1314;1%
24;6;811;1%
24;69;804;1%
24;75;682;1%
25;12;38061;12%
